x,y,z,Bx,By,Bz,Ex,Ey,Ez
-4.500000000000e+02,0.000000000000e+00,6.400000000000e+00,-1.425964323056e-15,-4.211750164045e-14,3.211654807456e-15,-5.024375753414e+03,2.548017617705e-01,-9.461870898445e+02
-4.500000000000e+02,0.000000000000e+00,6.600000000000e+00,-1.422641335570e-15,-4.202572368724e-14,3.213473556184e-15,-5.025603699004e+03,2.547992800404e-01,-9.441325648825e+02
-4.500000000000e+02,0.000000000000e+00,6.800000000000e+00,-1.419314455624e-15,-4.193387598888e-14,3.215288423579e-15,-5.026829128559e+03,2.547966462339e-01,-9.420764730712e+02
-4.500000000000e+02,0.000000000000e+00,7.000000000000e+00,-1.415983690309e-15,-4.184195867447e-14,3.217099401498e-15,-5.028052038742e+03,2.547938603578e-01,-9.400188172982e+02
-4.500000000000e+02,0.000000000000e+00,7.200000000000e+00,-1.412649046735e-15,-4.174997187341e-14,3.218906481810e-15,-5.029272426227e+03,2.547909224194e-01,-9.379596004579e+02
-4.500000000000e+02,0.000000000000e+00,7.400000000000e+00,-1.409310532041e-15,-4.165791571546e-14,3.220709656396e-15,-5.030490287688e+03,2.547878324266e-01,-9.358988254517e+02
-4.500000000000e+02,0.000000000000e+00,7.600000000000e+00,-1.405968153386e-15,-4.156579033063e-14,3.222508917151e-15,-5.031705619807e+03,2.547845903876e-01,-9.338364951880e+02
-4.500000000000e+02,0.000000000000e+00,7.800000000000e+00,-1.402621917954e-15,-4.147359584928e-14,3.224304255982e-15,-5.032918419273e+03,2.547811963111e-01,-9.317726125820e+02
-4.500000000000e+02,0.000000000000e+00,8.000000000000e+00,-1.399271832953e-15,-4.138133240206e-14,3.226095664810e-15,-5.034128682779e+03,2.547776502062e-01,-9.297071805560e+02
-4.500000000000e+02,0.000000000000e+00,8.200000000000e+00,-1.395917905616e-15,-4.128900011995e-14,3.227883135567e-15,-5.035336407022e+03,2.547739520825e-01,-9.276402020392e+02
-4.500000000000e+02,0.000000000000e+00,8.400000000000e+00,-1.392560143198e-15,-4.119659913420e-14,3.229666660198e-15,-5.036541588707e+03,2.547701019500e-01,-9.255716799678e+02
-4.500000000000e+02,0.000000000000e+00,8.600000000000e+00,-1.389198552977e-15,-4.110412957641e-14,3.231446230664e-15,-5.037744224544e+03,2.547660998193e-01,-9.235016172848e+02
-4.500000000000e+02,0.000000000000e+00,8.800000000000e+00,-1.385833142257e-15,-4.101159157846e-14,3.233221838936e-15,-5.038944311248e+03,2.547619457013e-01,-9.214300169400e+02
-4.500000000000e+02,0.000000000000e+00,9.000000000000e+00,-1.382463918366e-15,-4.091898527255e-14,3.234993476999e-15,-5.040141845541e+03,2.547576396074e-01,-9.193568818904e+02
-4.500000000000e+02,0.000000000000e+00,9.200000000000e+00,-1.379090888652e-15,-4.082631079118e-14,3.236761136852e-15,-5.041336824149e+03,2.547531815495e-01,-9.172822150996e+02
-4.500000000000e+02,0.000000000000e+00,9.400000000000e+00,-1.375714060490e-15,-4.073356826715e-14,3.238524810506e-15,-5.042529243804e+03,2.547485715398e-01,-9.152060195381e+02
-4.500000000000e+02,0.000000000000e+00,9.600000000000e+00,-1.372333441277e-15,-4.064075783357e-14,3.240284489987e-15,-5.043719101244e+03,2.547438095911e-01,-9.131282981836e+02
-4.500000000000e+02,0.000000000000e+00,9.800000000000e+00,-1.368949038435e-15,-4.054787962387e-14,3.242040167333e-15,-5.044906393215e+03,2.547388957165e-01,-9.110490540202e+02
-4.500000000000e+02,0.000000000000e+00,1.000000000000e+01,-1.365560859407e-15,-4.045493377177e-14,3.243791834596e-15,-5.046091116464e+03,2.547338299299e-01,-9.089682900390e+02
-4.500000000000e+02,0.000000000000e+00,1.020000000000e+01,-1.362168911663e-15,-4.036192041129e-14,3.245539483842e-15,-5.047273267748e+03,2.547286122452e-01,-9.068860092382e+02
-4.500000000000e+02,0.000000000000e+00,1.040000000000e+01,-1.358773202692e-15,-4.026883967677e-14,3.247283107151e-15,-5.048452843827e+03,2.547232426770e-01,-9.048022146223e+02
-4.500000000000e+02,0.000000000000e+00,1.060000000000e+01,-1.355373740011e-15,-4.017569170283e-14,3.249022696615e-15,-5.049629841469e+03,2.547177212404e-01,-9.027169092032e+02
-4.500000000000e+02,0.000000000000e+00,1.080000000000e+01,-1.351970531158e-15,-4.008247662442e-14,3.250758244341e-15,-5.050804257447e+03,2.547120479507e-01,-9.006300959992e+02
-4.500000000000e+02,0.000000000000e+00,1.100000000000e+01,-1.348563583693e-15,-3.998919457676e-14,3.252489742450e-15,-5.051976088539e+03,2.547062228239e-01,-8.985417780354e+02
-4.500000000000e+02,0.000000000000e+00,1.120000000000e+01,-1.345152905202e-15,-3.989584569541e-14,3.254217183077e-15,-5.053145331529e+03,2.547002458763e-01,-8.964519583439e+02
