,N,Bx,By,Bz,Ex,Ey,Ez
511,100000,2.8473762874446493e-13,-2.0786521287662004e-12,1.4455289072989115e-10,4800.515741609391,-21605.346208903207,-220863.11471174948
512,100000,2.240716045836237e-13,8.855985620084298e-13,1.3668224655105922e-10,9965.495272014652,22120.821004667556,-198227.1547840443
513,100000,-1.3353881998608222e-12,1.6661381082051323e-13,1.347251928447388e-10,-19343.184227534788,17350.979953192105,-192884.1679812723
514,100000,9.047611651649165e-13,9.694323609669982e-13,1.3415267177375234e-10,8177.7156667247145,9930.535822556785,-186165.75795137882
515,100000,-1.055594329818178e-12,3.6990288345093184e-13,1.393680569243034e-10,4352.288368863037,6749.210744712509,-204491.68280989057
516,100000,-1.1077421085615044e-12,-2.8338013834836204e-12,1.4067421225501034e-10,-10084.247458476866,-28393.493429370577,-203259.7202552585
517,100000,-6.168630255571078e-13,8.414259171775551e-13,1.3674297664141244e-10,7086.803635640854,9648.02002988606,-188284.77260901136
518,100000,-1.0031974549506782e-13,-8.775447889618029e-13,1.432863211252557e-10,17306.0572830433,-14368.43083758136,-218235.61473618142
519,100000,-2.687650381778906e-13,9.15209642830083e-13,1.3980662007867842e-10,-13626.874403314883,-8814.304350737073,-197660.3720516641
520,100000,-6.511910440443662e-13,3.3124568011259314e-13,1.338981582705856e-10,-6455.102915084754,8757.055366611316,-177616.8926543827
521,100000,1.5720875908203002e-12,-5.576047481501285e-13,1.3754605627813302e-10,28523.503674894306,5567.625828098918,-208961.91810977462
522,100000,4.963769016664309e-13,1.4638416417715137e-12,1.3751396571362227e-10,20537.00824824482,6882.45498045326,-192476.53376616197
523,100000,-1.586267981718167e-12,-6.27482533532139e-13,1.3997536487366504e-10,-27110.77841684801,-24250.61064755338,-207715.11167305178
524,100000,-7.593802216079976e-13,1.307719597783758e-13,1.3513424921816885e-10,-11186.454622819903,-11502.667714461712,-189926.86409520725
525,100000,-4.087541380193274e-13,1.380568415876946e-12,1.3577914531582158e-10,-20371.453824216915,24669.827899011154,-187700.42198135765
526,100000,-7.085675273440241e-13,-3.6521560160459116e-13,1.3800477230637442e-10,2786.0373651526656,-34989.50547961458,-190000.10985097647
527,100000,1.6674348463290834e-12,1.5962178825624428e-12,1.3444527448415092e-10,29571.2100533695,32642.097522849308,-192054.7592222817
528,100000,5.606873146231353e-13,-1.3681705711260637e-12,1.3710360379381268e-10,2089.0551689390504,-25801.5446602047,-212837.42673067533
