,N,Bx,By,Bz,Ex,Ey,Ez
45,1000000,3.3739963220881845e-13,3.8660502274110057e-13,1.547087645019532e-10,-7532.231570446793,2304.1830428124754,346534.2308539739
46,1000000,1.852049473656955e-13,1.996801453740566e-13,1.5581689698804108e-10,-11857.749144667028,-11709.680170441201,340761.2555160182
47,1000000,2.0442225541191305e-14,-5.143718459058102e-13,1.5463606104363658e-10,-3873.502766852221,-3809.030693337559,346572.0253096704
48,1000000,8.245999228691672e-14,3.346249835860326e-13,1.551179980391215e-10,-281.64550589223444,-12329.439098681716,344728.2762220592
49,1000000,2.3981991671948186e-13,-2.9568698656151735e-13,1.559199266549951e-10,-2683.075581426349,-2675.7889670869663,351008.0794767258
50,1000000,1.9051129050043422e-13,3.084866454439052e-14,1.5411329098337245e-10,1626.0485512613668,3284.2700134598313,347888.8627781644
51,1000000,-6.366392149542824e-13,-3.164946703668705e-13,1.5513484248457494e-10,-3556.8433099804515,-14355.759332966589,346411.36725967756
52,1000000,2.2918646336530714e-13,-5.358063317341799e-13,1.5334051592857455e-10,12514.765389516533,456.8371611967197,348783.76845899975
53,1000000,-1.5013486814693853e-13,6.899961049626488e-13,1.5567668226269e-10,-17961.210908609573,14289.229907261408,343128.38926834596
54,1000000,-6.063362752576161e-13,2.619306728594722e-13,1.5558482334198484e-10,595.6331255640453,2859.63428073536,342565.4435826755
55,1000000,2.4460002439938266e-13,-3.3323386561343497e-13,1.5441316767657148e-10,4400.352784596948,-12030.308991278707,351209.6624740866
56,1000000,2.632169707274876e-13,-2.308662751395874e-13,1.5383642862311807e-10,1737.4153822275405,-1335.6363218597783,347990.9188047954
57,1000000,-9.607989478130982e-15,1.0652243898308569e-13,1.5474029689170508e-10,-5741.810620410053,13101.868104517602,350424.9962489938
58,1000000,-2.27830410023999e-13,1.5028113423915042e-13,1.5355017308186404e-10,20686.36625917159,5928.496669015075,343434.80771348526
59,1000000,3.3161966796167306e-13,-4.620262786360672e-13,1.539552222132158e-10,-1826.304172717266,1226.874335196295,350064.23256643227
60,1000000,4.029389966982573e-14,-1.5883568052847246e-13,1.5568815005461575e-10,6253.554459661061,2913.8820242560846,343433.6636924271
61,1000000,9.369167317198764e-14,4.3341633792717723e-13,1.540317909543436e-10,-11088.258284555675,-7734.764182467521,350416.23126781074
62,1000000,1.2020440257173484e-13,-6.674886249276619e-14,1.5454894192716025e-10,29968.350269003105,4655.554474827809,346767.48181786545
63,1000000,3.6777047510889666e-13,5.451374074901205e-13,1.5505336352450373e-10,3385.296229614796,113.45493214453006,353762.5013287297
64,1000000,-2.2669651961012177e-14,2.502251250843549e-13,1.5693136090527823e-10,-8645.972243989496,-974.2161983625547,345180.18450720987
65,1000000,4.296147204113125e-14,-2.1804065520439385e-13,1.5515009035048937e-10,-10265.667175554736,-3354.8215625167804,345545.66472234577
66,1000000,6.871502431404045e-14,-4.991211325062589e-13,1.5251300123991155e-10,-3410.1319316529666,-17218.778367568488,349386.27786337066
67,1000000,-2.5255987477894185e-13,7.633145239581755e-14,1.5589532600114766e-10,2296.153324631827,13634.888478000841,340395.9112490309
68,1000000,2.550757216452815e-13,-4.757714248161497e-13,1.5471977820902055e-10,9306.355213655646,7043.041322071699,352701.6902905582
69,1000000,-1.538216850678912e-13,2.8425944365091465e-13,1.5378444416145582e-10,-7655.9312588118055,2037.7901826534294,342882.1204146239
70,1000000,3.432602821032019e-13,2.731880911483317e-13,1.5610923293484154e-10,-961.6158442661517,4994.402664426817,347473.4691802028
71,1000000,3.280706306879214e-13,-3.89555520237497e-13,1.5527717730868025e-10,-9171.796591072234,-6203.28739392013,345476.66959737026
72,1000000,-4.260251881757717e-14,-4.0444232128164333e-13,1.5544905528226517e-10,1702.953587756702,-13874.946077554847,349952.1184760636
73,1000000,-1.9751749185523168e-13,1.9235093788229736e-13,1.549202146750868e-10,-574.9699025935543,-4622.123634392519,344403.22523555515
74,1000000,-6.32073250846469e-13,5.930941624294887e-14,1.5653374988524635e-10,-2307.6516363770825,3804.6683233066537,346077.5175798526
75,1000000,-2.6656748182725757e-13,-5.551893279458973e-13,1.5424714969322943e-10,-8706.700268318624,-24995.00133556988,346822.82253254356
76,1000000,1.8282313701889516e-13,-1.2843449838535026e-14,1.555018073673411e-10,2874.4968780608942,-7441.63185546263,347375.3727185367
77,1000000,-2.463223754199706e-13,-8.805302604710293e-14,1.5616958489686622e-10,2531.577583824426,5346.948742779525,351654.3362517312
78,1000000,-3.714023849099107e-13,-2.7194332909894984e-13,1.5431100567652635e-10,-19435.727482774357,-8990.029298136176,350163.41174159583
79,1000000,-3.867663916723946e-13,4.499612140677785e-13,1.5532392494748416e-10,-455.91965564815894,12342.931459297906,348419.93689225527
80,1000000,-2.4081224463199995e-13,5.723694664776284e-14,1.5838511082369778e-10,-8211.910651776741,-6854.3135406368965,345310.79024985
81,1000000,-1.323254402136018e-13,-3.736083278825411e-13,1.5394337197243978e-10,5177.315374936044,10084.880183644253,345264.9282488526
82,1000000,2.649105242354107e-13,5.114902040580635e-14,1.5571472563324373e-10,-4203.954421327971,3093.8092134669714,344411.4028044391
83,1000000,-8.04614462136124e-13,-1.0787575744347727e-12,1.5531503338567346e-10,-7391.504627277882,2311.6046111625074,349805.4998089099
