,N,Bx,By,Bz,Ex,Ey,Ez
14,1000000,9.088290622661654e-15,-4.626026106640517e-17,2.0824314978673653e-15,-2223.8995013175563,0.7627493003515415,1017.9496016101018
15,1000000,9.00629895714723e-15,1.2766026823912176e-16,9.71998076906072e-15,-2296.2983213751445,0.5674871819954933,1021.2875958979445
16,1000000,8.875041823329948e-15,1.915515366319806e-16,3.406546054558155e-15,-2234.6302949458795,0.41216239479692185,1019.3882703992748
17,1000000,8.491242841454703e-15,-4.688529679711587e-17,9.027231347388462e-16,-2213.220773000847,-0.3625022137655792,1017.5656767756101
18,1000000,8.83296526181265e-15,-2.4290891392407383e-16,4.9672108078063115e-15,-2256.5842221312514,-3.2677600474292716,1020.4418324484791
19,1000000,8.974768412130917e-15,3.9709223492785086e-17,5.464752627599111e-15,-2286.8370610312168,-0.8686511255803359,1021.8540830315666
20,1000000,8.779728152213522e-15,-2.0246129862988696e-16,5.546409263005945e-15,-2249.612748793928,1.3852101807519301,1018.2735506503312
21,1000000,8.987187202009656e-15,-1.9896600862388442e-16,7.139928791555454e-15,-2291.466013980655,-1.6256623176354374,1023.1065439760446
22,1000000,8.669453827139103e-15,-2.2409421992889187e-16,3.956868470572168e-15,-2237.4173047244963,-0.6014039188132412,1019.4896251796906
23,1000000,8.969668167135365e-15,8.554803822859944e-17,2.5224021031460776e-15,-2188.640921770754,-0.7755607468684893,1020.7093273204086
24,1000000,8.742354307647273e-15,-4.358850626484962e-17,5.039966570731553e-15,-2265.2791123201796,0.0028688846256702196,1020.754354579574
25,1000000,8.961467179966964e-15,1.0334258761920468e-17,6.1906610207039536e-15,-2257.9505381725126,0.7433423603352834,1020.0728864572608
26,1000000,8.477098577649697e-15,-1.2094930508079417e-16,1.822706723283665e-15,-2196.006739220145,-0.17497546939044917,1017.9024042086016
27,1000000,8.846532780207747e-15,-2.2013565751539653e-16,1.2264159085817986e-15,-2198.2175066568593,-1.5221809293437747,1018.0649044656363
28,1000000,8.625070498652048e-15,-1.0974635605604813e-17,4.600917365499153e-15,-2267.9294973091132,-0.30128239678809,1018.9347410293761
29,1000000,8.874323239393933e-15,2.7362094964303415e-16,5.398386244438128e-15,-2251.2323946908737,0.5131719807457757,1020.2126947257789
30,1000000,8.971550497781195e-15,1.27682583921344e-16,6.246221964005771e-15,-2244.1165737326855,0.3864887124900271,1020.0383036799797
