,N,Bx,By,Bz,Ex,Ey,Ez
3614,1000000,5.03E-13,-1.88E-13,1.36E-10,4474.808072,245.2847582,-197316.502
3615,1000000,-1.82E-13,-1.36E-13,1.36E-10,1130.640871,-1058.463289,-192720.6528
3616,1000000,6.49E-13,-1.50E-13,1.36E-10,9186.077423,3426.351998,-190174.0392
3617,1000000,-8.56E-14,7.32E-15,1.34E-10,-7686.109876,1317.850085,-188138.6008
3618,1000000,-1.12E-13,-5.74E-13,1.37E-10,5638.649237,-11055.67066,-196060.8312
3619,1000000,2.24E-13,-2.09E-13,1.38E-10,479.5487735,-3720.491104,-195225.275
3620,1000000,5.57E-13,-2.21E-13,1.35E-10,13599.44973,-4902.539471,-186288.7702
3621,1000000,1.16E-13,-2.92E-13,1.37E-10,-3505.478709,-3576.297682,-194194.3228
3622,1000000,2.82E-13,7.76E-14,1.36E-10,7445.339813,7099.71028,-193050.4904
3623,1000000,-6.60E-14,2.89E-14,1.38E-10,-159.2100177,-1333.372409,-198314.1419
3624,1000000,-2.28E-13,1.47E-14,1.37E-10,-6138.940308,-5530.343603,-193557.5526
3625,1000000,5.13E-13,2.63E-13,1.35E-10,14459.86447,6931.597308,-188973.7505
3626,1000000,-1.59E-13,2.10E-13,1.38E-10,-8559.860666,2507.033673,-199640.8398
3627,1000000,1.93E-13,3.56E-14,1.37E-10,7310.868579,2689.794791,-195732.8076
3628,1000000,1.71E-13,-2.11E-13,1.35E-10,-2470.585455,-10296.99667,-189965.4654
3629,1000000,9.08E-14,6.05E-13,1.36E-10,3906.883411,14881.36698,-189821.5181
3630,1000000,-3.48E-13,1.05E-13,1.37E-10,-10150.75742,-2527.464954,-193363.8049
3631,1000000,9.67E-14,2.28E-13,1.38E-10,1389.945751,1065.095249,-196640.9213
3632,1000000,6.64E-13,5.64E-13,1.35E-10,7489.165141,15416.34115,-193231.1208
3633,1000000,-2.84E-13,2.43E-14,1.37E-10,1235.578992,-2250.431552,-197151.2504
3634,1000000,5.65E-13,1.15E-13,1.37E-10,10034.08007,-1870.943949,-197136.6585
3635,1000000,-2.53E-13,7.72E-14,1.37E-10,-2605.577604,-3627.631105,-196326.6283
3636,1000000,2.28E-13,1.03E-13,1.37E-10,1107.379045,-780.7585924,-191151.577
3637,1000000,-3.14E-13,3.12E-13,1.35E-10,-125.4922204,5104.469792,-188728.618
3638,1000000,-5.23E-13,2.23E-13,1.38E-10,-4108.211903,5782.668032,-200254.7705
3639,1000000,2.90E-13,2.32E-14,1.37E-10,3525.472496,2636.440303,-197119.0021
3640,1000000,2.40E-13,-1.42E-13,1.36E-10,9703.060717,193.7693476,-192476.7863
3641,1000000,-8.72E-14,1.50E-13,1.36E-10,-2674.838233,-1062.894654,-192712.2746
3642,1000000,-3.33E-13,-2.54E-13,1.35E-10,-7385.36525,-4534.940491,-194255.7572
3643,1000000,3.50E-13,1.75E-13,1.36E-10,7813.539627,2394.110459,-186826.3747
3644,1000000,1.09E-13,-3.47E-13,1.36E-10,1762.4153,-6371.686146,-194492.7959
3645,1000000,-1.14E-14,2.12E-13,1.36E-10,455.201419,-5273.123458,-194445.8231
