Parameters:
box_length	1437.49
n_particles	251
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
2.13382,5.69755e-14,540.685,1343.9,1389.99,-152.361,-76.5588,-145.175,86,0,20903,-20817
3.68791,2.94141e-13,377.071,1134.4,176.495,-52.6577,-10.4626,-47.8399,256,0,10236,-9980
3.18207,1.8895e-13,398.521,504.344,841.123,-50.833,53.0216,-3.87831,191,0,11561,-11370
2.30729,7.20313e-14,205.181,1042.04,968.385,170.438,21.3938,-35.7529,100,0,23576,-23476
2.93925,1.48911e-13,822.954,823.095,91.3303,127.922,-16.3747,-46.0348,163,0,13568,-13405
3.07152,1.69932e-13,770.406,1101.04,626.597,1.09535,142.854,21.2673,178,0,14025,-13847
3.5755,2.68056e-13,1235.28,999.909,1230.55,-31.4328,-7.25448,0.620279,241,0,9744,-9503
3.83295,3.30229e-13,1332.37,1077.7,616.136,128.031,79.0675,-15.8505,277,0,10822,-10545
3.45928,2.42758e-13,594.61,1216.84,727.876,-103.117,-73.8017,89.2566,226,0,10319,-10093
3.23534,1.98599e-13,1288.78,804.966,1281.71,-41.0083,152.798,-182.589,197,0,13874,-13677
3.41254,2.33051e-13,691.958,392.59,313.031,46.0368,152.113,-38.8245,220,0,11525,-11305
2.30435,7.1757e-14,302.532,531.309,1085.13,-40.3989,-71.236,-184.232,100,0,20788,-20688
3.57865,2.68765e-13,208.034,686.05,805.943,-80.886,20.6814,50.3074,241,0,11638,-11397
3.17997,1.88576e-13,247.937,776.544,267.336,75.913,-174.794,-72.7836,191,0,12907,-12716
2.20859,6.31777e-14,58.1978,489.208,544.169,547.4,32.8822,102.026,92,0,19120,-19028
2.97776,1.54841e-13,776.275,1115.74,26.4862,48.6381,-63.9967,106.619,167,0,13074,-12907
3.81559,3.25762e-13,121.875,503.925,500.131,-43.8614,-57.2018,-20.1005,274,0,9387,-9113
2.45576,8.68504e-14,1291.5,850.769,912.343,-17.244,24.8177,156.961,114,0,19019,-18905
2.66947,1.11556e-13,1306.38,937.436,594.214,51.4477,-47.4673,183.617,134,0,15956,-15822
3.54619,2.61519e-13,925.235,46.3275,1127.91,31.0068,-162.334,-14.8872,237,0,10327,-10090
2.14515,5.78885e-14,83.6014,808.029,1257.63,25.5667,339.262,-7.37884,87,0,25763,-25676
4.21285,4.38474e-13,29.4912,333.968,375.117,52.1779,-122.022,171.029,335,0,7879,-7544
5.03354,7.47888e-13,519.483,1063.44,491.875,52.0718,0.0413991,-25.6519,478,0,7434,-6956
6.54659,1.64536e-12,344.447,654.515,129.582,0.163302,-49.8625,47.4948,808,0,5056,-4248
6.31976,1.48019e-12,312.464,472.193,716.171,-43.7993,-23.9673,-55.6142,753,0,4610,-3857
7.37117,2.34869e-12,1140.89,119.754,1356.52,36.5653,-11.1658,-40.9431,1024,0,4233,-3209
4.63265,5.83047e-13,897.777,1338.7,683.724,6.02459,-50.7909,-40.6391,405,0,6852,-6447
6.69903,1.763e-12,488.308,207.526,575.501,21.5993,6.91575,-2.82485,846,0,4218,-3372
7.66174,2.63754e-12,657.281,829.819,282.379,-52.2565,-30.679,-35.0895,1107,0,4332,-3225
7.4236,2.39916e-12,1152.67,327.949,851.042,-5.88265,-35.9853,-3.56353,1039,0,3924,-2885
6.15151,1.36509e-12,1372.41,796.314,446.706,37.5479,-64.1924,-36.3543,713,0,4947,-4234
6.81747,1.85817e-12,760.021,281.642,1206.02,-1.06541,-9.75853,-19.8299,876,0,3966,-3090
