Parameters:
box_length	1180.41
n_particles	150
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	0.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
103.913,6.57999e-09,292.82,813.527,465.692,0.758612,-0.781536,0.43129,67845,0,537,67308
121.717,1.05749e-08,213.366,1004.63,329.126,0.139388,-0.00690081,0.483717,93086,0,637,92449
85.7605,3.69895e-09,771.869,682.667,549.342,-0.530346,-0.902377,1.4554,46212,0,458,45754
108.061,7.39986e-09,891.881,485.984,551.44,-0.266284,-0.100262,0.754807,73370,0,554,72816
87.2631,3.89681e-09,898.897,650.604,185.196,-0.666847,-0.225181,0.161787,47846,0,426,47420
71.1317,2.1106e-09,1052.27,1087.31,572.431,-0.610082,0.529657,1.1991,31791,0,344,31447
97.9988,5.51923e-09,384.553,837.427,1033.88,0.3445,0.839249,0.123634,60342,0,484,59858
99.9,5.84673e-09,507.026,487.413,318.552,-0.887085,-0.189005,0.555593,62706,0,489,62217
72.2467,2.21141e-09,449.373,237.289,502.011,0.0770207,-0.534981,-0.928233,32796,0,347,32449
96.6405,5.29291e-09,928.596,1070.76,385.468,-0.537922,-0.312049,0.82593,58681,0,502,58179
77.6144,2.74185e-09,572.977,706.812,1019.11,0.312268,2.30582,0.0414582,37850,0,393,37457
88.2794,4.03455e-09,924.724,867.081,595.894,0.912849,0.0641522,0.711075,48966,0,417,48549
82.991,3.35204e-09,1067.72,488.226,209.606,-0.133675,0.318916,-0.256651,43275,0,432,42843
108.065,7.40075e-09,108.794,445.892,916.625,-0.970519,-0.414481,0.356771,73376,0,589,72787
75.891,2.56323e-09,1077.15,921.805,465.462,-1.03711,0.180504,1.13941,36188,0,386,35802
104.104,6.61631e-09,646.157,517.342,516.604,0.521365,0.0921644,0.149286,68095,0,544,67551
81.8682,3.21782e-09,326.64,579.569,306.25,0.384841,-0.331223,-0.876999,42112,0,408,41704
96.6047,5.28702e-09,182.024,631.143,1013.76,0.49929,0.253677,-0.437358,58638,0,528,58110
92.1114,4.58308e-09,874.673,175.816,953.402,-0.454127,1.22095,0.236532,53310,0,471,52839
151.486,2.03862e-08,951.175,161.972,312.464,-0.066477,0.483157,-0.149879,144187,0,1001,143186
243.77,8.4949e-08,652.744,873.608,286.416,-0.0393073,-0.0516684,-0.0562896,373371,0,2032,371339
146.967,1.86157e-08,671.937,980.641,823.194,-0.0676611,-0.672134,-0.391455,135713,0,864,134849
